Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
836,Abde Ezzalzouli,ma MAR,FW,Betis,es La Liga,21.0,2001.0,26,6,865,9.6,1,0,1,1,0,1,1,0,3.0,2.2,0.3,2.5,57.0,25.0,89.0,0.1,0.0,0.1,0.1,0.1,0.31,0.03,0.34,0.23,0.26
12,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24.0,1999.0,27,27,2312,25.7,0,0,0,0,0,0,10,0,0.5,0.5,0.2,0.6,7.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02
173,Abdellah Baallal,ma MAR,MF,Clermont Foot,fr Ligue 1,18.0,2004.0,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2175,Abdellah Raihani,ma MAR,FW,Atlético Madrid,es La Liga,19.0,2004.0,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2205,Abderrahman Rebbach,dz ALG,"FW,MF",Alavés,es La Liga,24.0,1998.0,23,6,722,8.0,1,0,1,1,0,0,1,0,0.8,0.8,1.8,2.6,34.0,14.0,78.0,0.12,0.0,0.12,0.12,0.12,0.1,0.22,0.33,0.1,0.33
1104,Abdou Harroui,nl NED,"MF,FW",Frosinone,it Serie A,25.0,1998.0,18,13,1019,11.3,3,3,6,2,1,1,2,0,3.1,2.3,1.2,3.5,43.0,38.0,56.0,0.26,0.26,0.53,0.18,0.44,0.27,0.1,0.38,0.21,0.31
1277,Abdoul Kader Bamba,fr FRA,"FW,MF",Nantes,fr Ligue 1,29.0,1994.0,23,1,611,6.8,2,1,3,2,0,0,2,0,2.1,2.1,1.0,3.2,41.0,31.0,73.0,0.29,0.15,0.44,0.29,0.44,0.31,0.15,0.46,0.31,0.46
1362,Abdoul Koné,fr FRA,DF,Reims,fr Ligue 1,18.0,2005.0,3,3,193,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.7,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3
756,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,eng Premier League,30.0,1993.0,32,32,2629,29.2,7,1,8,7,0,0,7,0,8.8,8.8,2.9,11.6,55.0,97.0,140.0,0.24,0.03,0.27,0.24,0.27,0.3,0.1,0.4,0.3,0.4
2619,Abdoulaye Touré,gn GUI,MF,Le Havre,fr Ligue 1,29.0,1994.0,30,27,2284,25.4,2,0,2,0,2,2,4,0,3.0,1.4,0.9,2.3,22.0,148.0,25.0,0.08,0.0,0.08,0.0,0.0,0.12,0.04,0.15,0.05,0.09
1335,Abdukodir Khusanov,uz UZB,DF,Lens,fr Ligue 1,19.0,2004.0,11,9,809,9.0,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.2,5.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
1831,Abdul Mumin,gh GHA,DF,Rayo Vallecano,es La Liga,25.0,1998.0,20,19,1694,18.8,1,0,1,1,0,0,5,1,0.4,0.4,0.3,0.7,6.0,38.0,4.0,0.05,0.0,0.05,0.05,0.05,0.02,0.01,0.03,0.02,0.03
2155,Abdón Prats,es ESP,"FW,MF",Mallorca,es La Liga,30.0,1992.0,34,11,1270,14.1,6,1,7,6,0,0,4,0,3.2,3.2,2.4,5.6,9.0,26.0,49.0,0.43,0.07,0.5,0.43,0.5,0.23,0.17,0.4,0.23,0.4
1216,Ablie Jallow,gm GAM,"MF,FW",Metz,fr Ligue 1,24.0,1998.0,17,10,918,10.2,3,2,5,2,1,1,1,0,2.0,1.2,1.0,2.2,29.0,42.0,53.0,0.29,0.2,0.49,0.2,0.39,0.19,0.1,0.29,0.12,0.22
10,Abner,br BRA,DF,Betis,es La Liga,23.0,2000.0,23,15,1400,15.6,0,1,1,0,0,0,3,0,0.1,0.1,1.0,1.1,14.0,33.0,58.0,0.0,0.06,0.06,0.0,0.06,0.01,0.06,0.07,0.01,0.07
1493,Abou Lô,sn SEN,"MF,DF",Metz,fr Ligue 1,23.0,2000.0,6,2,197,2.2,0,0,0,0,0,0,0,1,0.1,0.1,0.3,0.5,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.16,0.22,0.06,0.22
72,Aboubacar Ali,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,17.0,2006.0,9,1,130,1.4,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.3,3.0,3.0,12.0,0.0,0.69,0.69,0.0,0.69,0.17,0.05,0.22,0.17,0.22
641,Achraf Dari,ma MAR,"DF,FW",Brest,fr Ligue 1,24.0,1999.0,4,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
1093,Achraf Hakimi,ma MAR,DF,Paris S-G,fr Ligue 1,24.0,1998.0,25,20,1932,21.5,4,5,9,4,0,0,3,0,4.2,4.2,5.2,9.4,84.0,218.0,230.0,0.19,0.23,0.42,0.19,0.42,0.2,0.24,0.44,0.2,0.44
1146,Adam Hložek,cz CZE,"MF,FW",Leverkusen,de Bundesliga,21.0,2002.0,23,5,459,5.1,2,3,5,2,0,0,1,0,3.1,3.1,0.9,4.0,14.0,13.0,33.0,0.39,0.59,0.98,0.39,0.98,0.6,0.18,0.78,0.6,0.78
1421,Adam Lallana,eng ENG,"MF,FW",Brighton,eng Premier League,35.0,1988.0,25,13,850,9.4,0,1,1,0,0,0,2,0,0.8,0.8,1.7,2.5,9.0,39.0,55.0,0.0,0.11,0.11,0.0,0.11,0.09,0.18,0.27,0.09,0.27
1648,Adam Marušić,me MNE,DF,Lazio,it Serie A,30.0,1992.0,37,37,3100,34.4,1,0,1,1,0,0,3,1,0.4,0.4,0.8,1.2,35.0,118.0,108.0,0.03,0.0,0.03,0.03,0.03,0.01,0.02,0.04,0.01,0.04
1652,Adam Masina,ma MAR,DF,Torino,it Serie A,29.0,1994.0,16,10,1024,11.4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,3.0,42.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04
1940,Adam Obert,sk SVK,DF,Cagliari,it Serie A,20.0,2002.0,17,10,941,10.5,0,0,0,0,0,0,1,0,0.1,0.1,0.9,1.1,14.0,37.0,5.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.1,0.01,0.1
2008,Adam Ounas,dz ALG,FW,Lille,fr Ligue 1,26.0,1996.0,17,3,418,4.6,1,0,1,1,0,0,0,0,0.6,0.6,1.9,2.6,20.0,20.0,40.0,0.22,0.0,0.22,0.22,0.22,0.14,0.41,0.55,0.14,0.55
2459,Adam Smith,eng ENG,DF,Bournemouth,eng Premier League,32.0,1991.0,28,25,2150,23.9,0,2,2,0,0,0,6,0,0.1,0.1,1.3,1.4,24.0,89.0,28.0,0.0,0.08,0.08,0.0,0.08,0.0,0.05,0.06,0.0,0.06
2749,Adam Webster,eng ENG,DF,Brighton,eng Premier League,28.0,1995.0,15,13,1144,12.7,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.6,16.0,80.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.05,0.03,0.05
2760,Adam Wharton,eng ENG,MF,Crystal Palace,eng Premier League,19.0,2004.0,16,15,1297,14.4,0,3,3,0,0,0,2,0,0.3,0.3,2.4,2.8,14.0,79.0,10.0,0.0,0.21,0.21,0.0,0.21,0.02,0.17,0.19,0.02,0.19
332,Adama Bojang,gm GAM,FW,Reims,fr Ligue 1,19.0,2004.0,9,0,83,0.9,0,0,0,0,0,0,1,0,1.3,1.3,0.0,1.3,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.38,0.05,1.43,1.38,1.43
2624,Adama Traoré,es ESP,"FW,MF",Fulham,eng Premier League,27.0,1996.0,17,1,377,4.2,2,3,5,2,0,0,2,0,1.5,1.5,0.7,2.2,29.0,16.0,48.0,0.48,0.72,1.19,0.48,1.19,0.36,0.17,0.53,0.36,0.53
1566,Adel Mahamoud,km COM,FW,Nantes,fr Ligue 1,20.0,2003.0,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1504,Ademola Lookman,ng NGA,"FW,MF",Atalanta,it Serie A,25.0,1997.0,31,22,1894,21.0,11,7,18,11,0,0,4,0,9.1,9.1,5.2,14.3,72.0,97.0,222.0,0.52,0.33,0.86,0.52,0.86,0.43,0.25,0.68,0.43,0.68
1221,Adnan Januzaj,be BEL,"FW,MF",Sevilla,es La Liga,28.0,1995.0,8,0,193,2.1,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,1.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.28,0.02,0.3,0.28,0.3
349,Adri Bosch,es ESP,DF,Granada,es La Liga,22.0,2001.0,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
814,Adri Embarba,es ESP,"FW,MF",Almería,es La Liga,31.0,1992.0,36,29,2476,27.5,3,2,5,2,1,1,5,0,4.3,3.5,4.4,8.0,94.0,58.0,167.0,0.11,0.07,0.18,0.07,0.15,0.16,0.16,0.32,0.13,0.29
245,Adrian Beck,de GER,"MF,FW",Heidenheim,de Bundesliga,26.0,1997.0,23,11,974,10.8,1,1,2,1,0,0,1,0,1.7,1.7,0.8,2.5,17.0,29.0,43.0,0.09,0.09,0.18,0.09,0.18,0.16,0.07,0.23,0.16,0.23
1030,Adrian Grbić,at AUT,FW,Lorient,fr Ligue 1,26.0,1996.0,1,0,31,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27
1452,Adrien Lebeau,fr FRA,"MF,FW",Brest,fr Ligue 1,24.0,1999.0,7,0,54,0.6,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.5,1.0,0.0,5.0,0.0,1.67,1.67,0.0,1.67,0.1,0.77,0.87,0.1,0.87
2167,Adrien Rabiot,fr FRA,MF,Juventus,it Serie A,28.0,1995.0,31,30,2651,29.5,5,3,8,5,0,0,8,0,3.5,3.4,4.1,7.4,72.0,120.0,106.0,0.17,0.1,0.27,0.17,0.27,0.12,0.14,0.26,0.11,0.25
